													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Mishneh Torah, Rest on a Holiday	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Shevitat Asor; laws of Yom Kippur, except for the Temple service.		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Shevitat Yom Tov,Mishneh Torah, Hilchot Shevitat Yom Tov,Rambam, Shevitat Yom Tov,Rambam, Hilchot Shevitat Yom Tov,Rambam, Rest on a Holiday,Mishneh Torah, Laws of Rest on a Holiday,Rambam, Laws of Rest on a Holiday,Mishneh Torah, Hilkhot Shevitat Yom Tov,Rambam, Hilkhot Shevitat Yom Tov	משנה תורה, הלכות שביתת יום טוב	רמב"ם, הלכות שביתת יום טוב,משנה תורה, הל' שביתת יום טוב,רמב"ם, הל' שביתת יום טוב,רמב"ם הלכות שביתת יום טוב,רמב"ם הל' שביתת יום טוב	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Leavened and Unleavened Bread	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Hametz u-Matza; laws of Passover		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Chometz U'Matzah,Rambam, Laws of Leavened and Unleavened Bread,Rambam, Hilchot Chometz U'Matzah,Rambam, Chometz U'Matzah,Mishneh Torah, Hilchot Chometz U'Matzah,Rambam, Leavened and Unleavened Bread,Mishneh Torah, Laws of Leavened and Unleavened Bread,Rambam, Hilkhot Chometz U'Matzah,Mishneh Torah, Hilkhot Chometz U'Matzah	משנה תורה, הלכות חמץ ומצה	רמב"ם, הלכות חמץ ומצה,משנה תורה, הל' חמץ ומצה,רמב"ם, הל' חמץ ומצה,רמב"ם הלכות חמץ ומצה,רמב"ם הל' חמץ ומצה	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Shofar, Sukkah and Lulav	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Shofar ve-Lulav ve-Sukkah; laws of Rosh Hashanah and Sukkot		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Shofar, Sukkah, vLulav,Rambam, Shofar, Sukkah and Lulav,Mishneh Torah, Hilchot Shofar, Sukkah, vLulav,Rambam, Laws of Shofar, Sukkah and Lulav,Rambam, Shofar, Sukkah, vLulav,Rambam, Hilchot Shofar, Sukkah, vLulav,Mishneh Torah, Laws of Shofar, Sukkah and Lulav,Mishneh Torah, Hilkhot Shofar, Sukkah, vLulav,Rambam, Hilkhot Shofar, Sukkah, vLulav	משנה תורה, הלכות שופר וסוכה ולולב	רמב"ם, הלכות שופר וסוכה ולולב,משנה תורה, הל' שופר וסוכה ולולב,רמב"ם, הל' שופר וסוכה ולולב,רמב"ם הלכות שופר וסוכה ולולב,רמב"ם הל' שופר וסוכה ולולב	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Sheqel Dues	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Laws of Sheqalim.		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, Shekalim,Mishneh Torah, Hilchot Shekalim,Mishneh Torah, Shekalim,Rambam, Laws of Sheqel Dues,Rambam, Hilchot Shekalim,Rambam, Sheqel Dues,Mishneh Torah, Laws of Sheqel Dues,Mishneh Torah, Hilkhot Shekalim,Rambam, Hilkhot Shekalim	משנה תורה, הלכות שקלים	רמב"ם, הלכות שקלים,משנה תורה, הל' שקלים,רמב"ם, הל' שקלים,רמב"ם הלכות שקלים,רמב"ם הל' שקלים	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Sanctification of the New Month	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Laws of Rosh Hodesh (New Moon).		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, Hilchot Kiddush HaChodesh,Mishneh Torah, Laws of Sanctification of the New Month,Rambam, Kiddush HaChodesh,Mishneh Torah, Hilchot Kiddush HaChodesh,Rambam, Laws of Sanctification of the New Month,Mishneh Torah, Kiddush HaChodesh,Rambam, Sanctification of the New Month,Rambam, Hilkhot Kiddush HaChodesh,Mishneh Torah, Hilkhot Kiddush HaChodesh	משנה תורה, הלכות קידוש החודש	רמב"ם, הלכות קידוש החודש,משנה תורה, הל' קידוש החודש,רמב"ם, הל' קידוש החודש,רמב"ם הלכות קידוש החודש,רמב"ם הל' קידוש החודש	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Fasts	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Laws of Taanit (Fasts).		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Laws of Fasts,Rambam, Fasts,Rambam, Hilchot Ta'aniyot,Mishneh Torah, Ta'aniyot,Mishneh Torah, Hilchot Ta'aniyot,Rambam, Laws of Fasts,Rambam, Ta'aniyot,Rambam, Hilkhot Ta'aniyot,Mishneh Torah, Hilkhot Ta'aniyot	משנה תורה, הלכות תעניות	רמב"ם, הלכות תעניות,משנה תורה, הל' תעניות,רמב"ם, הל' תעניות,רמב"ם הלכות תעניות,רמב"ם הל' תעניות	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Scroll of Esther and Hanukkah	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The third book is Zemanim (Times). Hanukah u-Megillah; laws of Hanukkah and Purim.		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, Scroll of Esther and Hanukkah,Mishneh Torah, Laws of Scroll of Esther and Hanukkah,Rambam, Megillah vChanukah,Rambam, Laws of Scroll of Esther and Hanukkah,Mishneh Torah, Megillah vChanukah,Rambam, Hilchot Megillah vChanukah,Mishneh Torah, Hilchot Megillah vChanukah,Rambam, Hilkhot Megillah vChanukah,Mishneh Torah, Hilkhot Megillah vChanukah	משנה תורה, הלכות מגילה וחנוכה	רמב"ם, הלכות מגילה וחנוכה,משנה תורה, הל' מגילה וחנוכה,רמב"ם, הל' מגילה וחנוכה,רמב"ם הלכות מגילה וחנוכה,רמב"ם הל' מגילה וחנוכה	Halakhah,Mishneh Torah,Sefer Zemanim
Mishneh Torah, Diverse Species	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Kilayim: Laws of forbidden mixtures		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Laws of Diverse Species,Mishneh Torah, Hilchot Kilaayim,Rambam, Hilchot Kilaayim,Rambam, Diverse Species,Rambam, Kilaayim,Rambam, Laws of Diverse Species,Mishneh Torah, Kilaayim,Mishneh Torah, Hilkhot Kilaayim,Rambam, Hilkhot Kilaayim	משנה תורה, הלכות כלאים	רמב"ם, הלכות כלאים,משנה תורה, הל' כלאים,רמב"ם, הל' כלאים,רמב"ם הלכות כלאים,רמב"ם הל' כלאים	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, Gifts to the Poor	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Aniyim: Laws of obligatory gifts to the poor		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, Laws of Gifts to the Poor,Rambam, Matnot Aniyiim,Mishneh Torah, Laws of Gifts to the Poor,Rambam, Gifts to the Poor,Mishneh Torah, Hilchot Matnot Aniyiim,Mishneh Torah, Matnot Aniyiim,Rambam, Hilchot Matnot Aniyiim,Mishneh Torah, Hilkhot Matnot Aniyiim,Rambam, Hilkhot Matnot Aniyiim	משנה תורה, הלכות מתנות עניים	רמב"ם, הלכות מתנות עניים,משנה תורה, הל' מתנות עניים,רמב"ם, הל' מתנות עניים,רמב"ם הלכות מתנות עניים,רמב"ם הל' מתנות עניים	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, Heave Offerings	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Terumot: Laws of obligatory gifts to the priests		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Terumot,Mishneh Torah, Laws of Heave Offerings,Rambam, Heave Offerings,Rambam, Hilchot Terumot,Rambam, Terumot,Mishneh Torah, Hilchot Terumot,Rambam, Laws of Heave Offerings,Rambam, Hilkhot Terumot,Mishneh Torah, Hilkhot Terumot	משנה תורה, הלכות תרומות	רמב"ם, הלכות תרומות,משנה תורה, הל' תרומות,רמב"ם, הל' תרומות,רמב"ם הלכות תרומות,רמב"ם הל' תרומות	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, Tithes	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Maaser: Laws of tithes		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Maaser,Rambam, Laws of Tithes,Mishneh Torah, Laws of Tithes,Mishneh Torah, Hilchot Maaser,Rambam, Hilchot Maaser,Rambam, Maaser,Rambam, Tithes,Mishneh Torah, Hilkhot Maaser,Rambam, Hilkhot Maaser	משנה תורה, הלכות מעשרות	רמב"ם, הלכות מעשרות,משנה תורה, הל' מעשרות,רמב"ם, הל' מעשרות,רמב"ם הלכות מעשרות,רמב"ם הל' מעשרות	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, Second Tithes and Fourth Year's Fruit	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Sheini: Laws of secondary tithes		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, Second Tithes and Fourth Year's Fruit,Rambam, Hilchot Maaser Sheini,Mishneh Torah, Laws of Second Tithes and Fourth Year's Fruit,Mishneh Torah, Maaser Sheini,Rambam, Laws of Second Tithes and Fourth Year's Fruit,Rambam, Maaser Sheini,Mishneh Torah, Hilchot Maaser Sheini,Rambam, Hilkhot Maaser Sheini,Mishneh Torah, Hilkhot Maaser Sheini	משנה תורה, הלכות מעשר שני ונטע רבעי	רמב"ם, הלכות מעשר שני ונטע רבעי,משנה תורה, הל' מעשר שני ונטע רבעי,רמב"ם, הל' מעשר שני ונטע רבעי,רמב"ם הלכות מעשר שני ונטע רבעי,רמב"ם הל' מעשר שני ונטע רבעי	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Bikurim: Laws of first fruit offerings		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Rambam, First Fruits and other Gifts to Priests Outside the Sanctuary,Rambam, Laws of First Fruits and other Gifts to Priests Outside the Sanctuary,Mishneh Torah, Laws of First Fruits and other Gifts to Priests Outside the Sanctuary,Rambam, Bikkurim,Mishneh Torah, Bikkurim,Rambam, Hilchot Bikkurim,Mishneh Torah, Hilchot Bikkurim,Rambam, Hilkhot Bikkurim,Mishneh Torah, Hilkhot Bikkurim	משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	רמב"ם, הלכות ביכורים ושאר מתנות כהונה שבגבולין,משנה תורה, הל' ביכורים ושאר מתנות כהונה שבגבולין,רמב"ם, הל' ביכורים ושאר מתנות כהונה שבגבולין,רמב"ם הלכות ביכורים ושאר מתנות כהונה שבגבולין,רמב"ם הל' ביכורים ושאר מתנות כהונה שבגבולין	Halakhah,Mishneh Torah,Sefer Zeraim
Mishneh Torah, Sabbatical Year and the Jubilee	Rambam	The Mishneh Torah Repetition of the Torah), subtitled Sefer Yad HaHazaka (Book of the Strong Hand), is a code of Jewish religious law (Halakha) authored by Rabbi Moshe ben Maimon, also known as Rambam or Maimonidies. The Mishneh Torah was compiled between 1170 and 1180 in Egypt, and is regarded as Maimonides' magnum opus. Mishneh Torah consists of fourteen books, subdivided into sections, chapters, and paragraphs. It is the only Medieval-era work that details all of Jewish observance, including those laws that are only applicable when the Temple is in existence. Maimonides intended to provide a complete statement of the Oral Law, so that a person who mastered first the Written Torah and then the Mishneh Torah would be in no need of any other book. Contemporary reaction was mixed, with strong and immediate opposition focusing on the absence of sources and the belief that the work appeared to be intended to supersede study of the Talmud. Maimonides responded to these criticisms, and the Mishneh Torah endures as an influential work in Jewish religious thought. According to several authorities, a decision may not be rendered in opposition to a view of Maimonides, even where he apparently militated against the sense of a Talmudic passage, for in such cases the presumption was that the words of the Talmud were incorrectly interpreted. Likewise: "One must follow Maimonides even when the latter opposed his teachers, since he surely knew their views, and if he decided against them he must have disapproved their interpretation." The book is divided into fourteen volumes which are then subdivided into section, each on a specific topic of law. The seventh book is Zera'im (Seeds): agricultural laws. Shemittah: Laws of the sabbatical year		1177	1	Middle-Age Egypt	1474	Rome	Rishonim	Mishneh Torah, Laws of Sabbatical Year and the Jubilee,Rambam, Sabbatical Year and the Jubilee,Mishneh Torah, Shemita,Rambam, Shemita,Mishneh Torah, Hilchot Shemita,Rambam, Hilchot Shemita,Rambam, Laws of Sabbatical Year and the Jubilee,Mishneh Torah, Hilkhot Shemita,Rambam, Hilkhot Shemita	משנה תורה, הלכות שמיטה ויובל	רמב"ם, הלכות שמיטה ויובל,משנה תורה, הל' שמיטה ויובל,רמב"ם, הל' שמיטה ויובל,רמב"ם הלכות שמיטה ויובל,רמב"ם הל' שמיטה ויובל	Halakhah,Mishneh Torah,Sefer Zeraim
